Base,Reranker,Optimization,Protected,Metric,Value
BMF,FA*IR,Joint-2%,Loan Bucket 5,PSP,0.0461
SLIM,FA*IR,Joint-2%,Loan Bucket 5,PSP,-0.773
RankALS,FA*IR,Joint-2%,Loan Bucket 5,PSP,2.0
BPR,PFAR,Joint-2%,Loan Bucket 5,PSP,-0.7467
BMF,PFAR,Joint-2%,Loan Bucket 5,PSP,-0.615
SLIM,PFAR,Joint-2%,Loan Bucket 5,PSP,-0.773
RankALS,PFAR,Joint-2%,Loan Bucket 5,PSP,2.0
BPR,None,Original,Country,NDCG,0.0658
BMF,None,Original,Country,NDCG,0.0325
SLIM,None,Original,Country,NDCG,0.0167
RankALS,None,Original,Country,NDCG,0.0554
BPR,FAR,Separate,Country,NDCG,0.0642
BMF,FAR,Separate,Country,NDCG,0.031
SLIM,FAR,Separate,Country,NDCG,0.0164
RankALS,FAR,Separate,Country,NDCG,1.0
BPR,FA*IR,Separate,Country,NDCG,0.0596
BMF,FA*IR,Separate,Country,NDCG,0.0341
SLIM,FA*IR,Separate,Country,NDCG,0.0168
RankALS,FA*IR,Separate,Country,NDCG,1.0
BPR,PFAR,Separate,Country,NDCG,1.0
BMF,PFAR,Separate,Country,NDCG,1.0
SLIM,PFAR,Separate,Country,NDCG,1.0
RankALS,PFAR,Separate,Country,NDCG,1.0
BPR,FAR,Joint,Country,NDCG,0.0594
BMF,FAR,Joint,Country,NDCG,0.0291
SLIM,FAR,Joint,Country,NDCG,0.0153
RankALS,FAR,Joint,Country,NDCG,1.0
BPR,FA*IR,Joint,Country,NDCG,0.0598
BMF,FA*IR,Joint,Country,NDCG,0.0292
SLIM,FA*IR,Joint,Country,NDCG,0.0159
RankALS,FA*IR,Joint,Country,NDCG,1.0
BPR,PFAR,Joint,Country,NDCG,1.0
BMF,PFAR,Joint,Country,NDCG,1.0
SLIM,PFAR,Joint,Country,NDCG,1.0
RankALS,PFAR,Joint,Country,NDCG,1.0
BPR,FAR,Joint-5%,Country,NDCG,0.0694
BMF,FAR,Joint-5%,Country,NDCG,0.033
SLIM,FAR,Joint-5%,Country,NDCG,0.0162
RankALS,FAR,Joint-5%,Country,NDCG,1.0
BPR,FA*IR,Joint-5%,Country,NDCG,0.0596
BMF,FA*IR,Joint-5%,Country,NDCG,0.0341
SLIM,FA*IR,Joint-5%,Country,NDCG,0.01695
RankALS,FA*IR,Joint-5%,Country,NDCG,1.0
BPR,PFAR,Joint-5%,Country,NDCG,1.0
BMF,PFAR,Joint-5%,Country,NDCG,1.0
SLIM,PFAR,Joint-5%,Country,NDCG,1.0
RankALS,PFAR,Joint-5%,Country,NDCG,1.0
BPR,FAR,Joint-2%,Country,NDCG,0.0694
BMF,FAR,Joint-2%,Country,NDCG,0.0326
SLIM,FAR,Joint-2%,Country,NDCG,0.0167
RankALS,FAR,Joint-2%,Country,NDCG,1.0
BPR,FA*IR,Joint-2%,Country,NDCG,0.0644
BMF,FA*IR,Joint-2%,Country,NDCG,0.0644
SLIM,FA*IR,Joint-2%,Country,NDCG,0.0167
