Experiment,Split,l1-reg,l2-reg,lambda,alpha
exp00000,0,0.21451152690680286,2.580112710678327,0.0,0.0
exp00000,1,0.21451152690680286,2.580112710678327,0.0,0.0
exp00000,2,0.21451152690680286,2.580112710678327,0.0,0.0
